rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
346,Alex G. Spanos Stadium,11075,San Luis Obispo,California,1935,"Football, soccer",Cal Poly Mustangs (NCAA),No Image,"[35.29842525, 35.29842525]"
347,George M. Steinbrenner Field,11026,Tampa,Florida,1996,Baseball,"Tampa Tarpons (FSL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Legends_field.JPG/150px-Legends_field.JPG,"[27.98016445, 27.98016445]"
348,Wildcat Stadium,11015,Durham,New Hampshire,1936,Football,New Hampshire Wildcats (NCAA),No Image,"[43.13854745, 43.13854745]"
349,Memorial Field,11000,Hanover,New Hampshire,1893,Football,Dartmouth Big Green (NCAA),No Image,"[43.7012974, 43.7012974]"
350,Atwood Stadium,11000,Flint,Michigan,1929,"Football, soccer","Flint City Bucks (USL League Two)
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Atwood_Stadium.jpg/150px-Atwood_Stadium.jpg,"[43.01716165, 43.01716165]"
351,Welcome Stadium,11000,Dayton,Ohio,1949,Football,Dayton Flyers (NCAA),No Image,"[39.73692745, 39.73692745]"
352,121 Financial Ballpark,11000,Jacksonville,Florida,2003,Baseball,Jacksonville Jumbo Shrimp (IL),No Image,"[30.3250346, 30.3250346]"
353,Salt River Fields at Talking Stick,11000,Scottsdale,Arizona,2011,Baseball,Salt River Rafters (AFL),No Image,"[33.54538445, 33.54538445]"
354,Cy-Fair FCU Stadium,11000,Cypress,Texas,,"Football, soccer",,No Image,
355,NBT Bank Stadium,10815,Syracuse,New York,1997,Baseball,Syracuse Mets (IL),No Image,"[43.07881365, 43.07881365]"
356,UC Davis Health Stadium,10743,Davis,California,2007,Football,UC Davis Aggies (NCAA),No Image,
357,Baum–Walker Stadium,10737,Fayetteville,Arkansas,1996,Baseball,Arkansas Razorbacks (NCAA),No Image,"[36.050156, 36.050156]"
358,Surprise Stadium,10714,Surprise,Arizona,2002,Baseball,Surprise Saguaros (AFL),No Image,"[33.62811815, 33.62811815]"
359,Chukchansi Park,10650,Fresno,California,2002,Baseball,"Fresno Grizzlies (CL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Chukchansi.jpg/150px-Chukchansi.jpg,"[36.73200405, 36.73200405]"
360,Sutter Health Park,10624,Sacramento,California,2000,Baseball,Sacramento River Cats (PCL),No Image,"[38.5803717, 38.5803717]"
361,American Legion Memorial Stadium,10500,Charlotte,North Carolina,1936,"Football, soccer","Anthem Rugby Carolina (Major League Rugby), Charlotte Independence (USL League One)",No Image,"[35.21816585, 35.21816585]"
362,Manning Field at John L. Guidry Stadium,10500,Thibodaux,Louisiana,1972,Football,Nicholls Colonels (NCAA),No Image,
363,Greater Zion Stadium,10500,St. George,Utah,1985,Football,Utah Tech Trailblazers (NCAA),No Image,"[37.0995461, 37.0995461]"
364,Hohokam Stadium,10500,Mesa,Arizona,1997,Baseball,,No Image,"[33.43858945, 33.43858945]"
365,Lubbers Stadium,10444,Allendale,Michigan,1972,Football,Grand Valley State Lakers (NCAA),https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/LubbersStadium2021_Air.jpg/150px-LubbersStadium2021_Air.jpg,
366,Coolray Field,10427,Lawrenceville,Georgia,2009,Baseball,Gwinnett Stripers (IL),No Image,"[34.04066495, 34.04066495]"
367,Alex Box Stadium,10326,Baton Rouge,Louisiana,2009,Baseball,LSU Tigers (NCAA),No Image,"[30.4066886, 30.4066886]"
368,Crown Field at Andy Kerr Stadium,10221,Hamilton,New York,1939,"Football, field lacrosse",Colgate Raiders (NCAA),No Image,
369,Credit One Stadium,10200,Charleston,South Carolina,2001,Tennis,,No Image,"[32.8614525, 32.8614525]"
370,Truist Field,10200,Charlotte,North Carolina,2014,Baseball,Charlotte Knights (IL),No Image,"[35.2282839, 35.2282839]"
371,Five Star Stadium,10200,Macon,Georgia,2013,Football,Mercer Bears (NCAA),No Image,"[32.8269879, 32.8269879]"
372,Huntington Park,10100,Columbus,Ohio,2009,Baseball,Columbus Clippers (IL),No Image,"[39.9687278, 39.9687278]"
373,Riverfront Stadium,10025,Wichita,Kansas,2021,Baseball,Wichita Wind Surge (Texas),No Image,"[37.6813858, 37.6813858]"
374,Tiger Stadium,10001,Corsicana,Texas,2006,"Football, soccer",,No Image,"[32.0827272, 32.0827272]"
375,William H. Greene Stadium,10000,"Washington, D.C.",District of Columbia,1926,Football,Howard Bison (NCAA),No Image,"[38.92566195, 38.92566195]"
